"","index:ID","directordata",":LABEL"
"1",40001,"克里斯托弗·诺兰","導演"
"2",40002,"维克多·弗莱明","導演"
"3",40003,"张艺谋","導演"
"4",40004,"李安","導演"
"5",40005,"比利·怀德","導演"
"6",40006,"朱塞佩·托纳多雷","導演"
"7",40007,"姜文","導演"
"8",40008,"彼得·杰克逊","導演"
"9",40009,"西德尼·吕美特","導演"
"10",40010,"宫崎骏","導演"
"11",40011,"涅提·蒂瓦里","導演"
"12",40012,"彼特·道格特","導演"
"13",40013,"刘镇伟","導演"
"14",40014,"大卫·芬奇","導演"
"15",40015,"威廉·惠勒","導演"
"16",40016,"马丁·布莱斯特","導演"
"17",40017,"杨宇硕","導演"
"18",40018,"弗洛里安·亨克尔·冯·多纳斯马尔克","導演"
"19",40019,"贝纳尔多·贝托鲁奇","導演"
"20",40020,"盖·里奇","導演"
"21",40021,"米洛斯·福尔曼","導演"
"22",40022,"彼得·威尔","導演"
"23",40023,"李濬益","導演"
"24",40024,"李·昂克里奇","導演"
"25",40025,"弗朗西斯·福特·科波拉","導演"
"26",40026,"詹姆斯·麦克特格","導演"
"27",40027,"路易·西霍尤斯","導演"
"28",40028,"罗杰·阿勒斯","導演"
"29",40029,"朗·霍华德","導演"
"30",40030,"岩井俊二","導演"
"31",40031,"罗曼·波兰斯基","導演"
"32",40032,"赛尔乔·莱昂内","導演"
"33",40033,"奥里奥尔·保罗","導演"
"34",40034,"莉莉·沃卓斯基","導演"
"35",40035,"马基德·马基迪","導演"
"36",40036,"万籁鸣","導演"
"37",40037,"克里斯·哥伦布","導演"
"38",40038,"史蒂文·斯皮尔伯格","導演"
"39",40039,"中岛哲也","導演"
"40",40040,"罗伯特·怀斯","導演"
"41",40041,"昆汀·塔伦蒂诺","導演"
"42",40042,"乔纳森·戴米","導演"
"43",40043,"让-皮埃尔·热内","導演"
"44",40044,"梅尔·吉布森","導演"
"45",40045,"埃里克·布雷斯","導演"
"46",40046,"蒂姆·波顿","導演"
"47",40047,"王家卫","導演"
"48",40048,"格斯·范·桑特","導演"
"49",40049,"马丁·斯科塞斯","導演"
"50",40050,"韦斯·安德森","導演"
"51",40051,"马克·赫尔曼","導演"
"52",40052,"泷田洋二郎","導演"
"53",40053,"詹姆斯·卡梅隆","導演"
"54",40054,"詹姆斯·曼高德","導演"
"55",40055,"M·奈特·沙马兰","導演"
"56",40056,"戈尔·维宾斯基","導演"
"57",40057,"托马斯·温特伯格","導演"
"58",40058,"亚当·艾略特","導演"
"59",40059,"查理·卓别林","導演"
"60",40060,"周星驰","導演"
"61",40061,"杨德昌","導演"
"62",40062,"姜炯哲","導演"
"63",40063,"陈可辛","導演"
"64",40064,"理查德·林克莱特","導演"
"65",40065,"森淳一","導演"
"66",40066,"迪恩·德布洛斯","導演"
"67",40067,"近藤喜文","導演"
"68",40068,"卢卡·瓜达尼诺","導演"
"69",40069,"今敏","導演"
"70",40070,"程小东","導演"
"71",40071,"金秉祐","導演"
"72",40072,"托尼·凯耶","導演"
"73",40073,"卡迪亚·兰德","導演"
"74",40074,"北野武","導演"
"75",40075,"大卫·叶茨","導演"
"76",40076,"奉俊昊","導演"
"77",40077,"李焕庆","導演"
"78",40078,"皮埃尔·柯芬","導演"
"79",40079,"米林宏昌","導演"
"80",40080,"大森贵弘","導演"
"81",40081,"李力持","導演"
"82",40082,"唐·霍尔","導演"
"83",40083,"罗启锐","導演"
"84",40084,"温子仁","導演"
"85",40085,"黑泽明","導演"
"86",40086,"保罗·格林格拉斯","導演"
"87",40087,"理查德·柯蒂斯","導演"
"88",40088,"是枝裕和","導演"
"89",40089,"柯克·德·米科","導演"
"90",40090,"吴宇森","導演"
"91",40091,"高畑勋","導演"
"92",40092,"丹尼·博伊尔","導演"
"93",40093,"达伦·阿伦诺夫斯基","導演"
"94",40094,"乔·赖特","導演"
"95",40095,"忻钰坤","導演"
"96",40096,"达米安·斯兹弗隆","導演"
"97",40097,"巴瑞·莱文森","導演"
"98",40098,"让-马克·瓦雷","導演"
"99",40099,"克林特·伊斯特伍德","導演"
"100",40100,"特瑞·乔治","導演"
"101",40101,"肯尼思·洛纳根","導演"
"102",40102,"雅克·贝汉","導演"
"103",40103,"尼克·卡萨维茨","導演"
"104",40104,"热拉尔·乌里","導演"
"105",40105,"藤森雅也","導演"
"106",40106,"郭柯","導演"
"107",40107,"马丁·麦克唐纳","導演"
"108",40108,"瑞奇·摩尔","導演"
"109",40109,"斯坦利·多南","導演"
"110",40110,"卡洛斯·沙尔丹哈","導演"
"111",40111,"新海诚","導演"
"112",40112,"爱德华·兹威克","導演"
"113",40113,"杰茜·尼尔森","導演"
"114",40114,"达米恩·查泽雷","導演"
"115",40115,"细田守","導演"
"116",40116,"茂文·勒鲁瓦","導演"
"117",40117,"汉内斯·赫尔姆","導演"
"118",40118,"莫滕·泰杜姆","導演"
"119",40119,"伦尼·阿伯拉罕森","導演"
"120",40120,"神山征二郎","導演"
"121",40121,"克里斯托弗·史密斯","導演"
"122",40122,"保罗·杰诺维塞","導演"
"123",40123,"汤姆·提克威","導演"
"124",40124,"严定宪","導演"
"125",40125,"丹尼斯·甘塞尔","導演"
"126",40126,"史蒂芬·戴德利","導演"
"127",40127,"陆川","導演"
"128",40128,"道格·里曼","導演"
"129",40129,"安德鲁·尼科尔","導演"
"130",40130,"阿米尔·汗","導演"
"131",40131,"阿尔弗雷德·希区柯克","導演"
"132",40132,"徐克","導演"
"133",40133,"宁浩","導演"
"134",40134,"阿斯哈·法哈蒂","導演"
"135",40135,"王树忱","導演"
"136",40136,"邓肯·琼斯","導演"
"137",40137,"普特鹏·普罗萨卡·那·萨克那卡林","導演"
"138",40138,"卡比尔·汗","導演"
"139",40139,"李惠民","導演"
"140",40140,"约翰·卡尼","導演"
"141",40141,"保罗·哈吉斯","導演"
"142",40142,"阿兰·葛斯彭纳","導演"
"143",40143,"小津安二郎","導演"
"144",40144,"弗兰克·德拉邦特","導演"
"145",40145,"詹姆斯·沃德·布柯特","導演"
"146",40146,"斯坦利·库布里克","導演"
"147",40147,"理查德·沙因克曼","導演"
"148",40148,"雷德利·斯科特","導演"
"149",40149,"汤姆·麦卡锡","導演"
"150",40150,"迈克尔·贝","導演"
"151",40151,"布莱恩·辛格","導演"
"152",40152,"秋昌旼","導演"
"153",40153,"迈克尔·柯蒂兹","導演"
"154",40154,"汤姆·霍珀","導演"
"155",40155,"斯蒂芬·卓博斯基","導演"
"156",40156,"乔治·米勒","導演"
"157",40157,"罗伯·莱纳","導演"
"158",40158,"萨姆·门德斯","導演"
"159",40159,"周申","導演"
"160",40160,"罗伯特·泽米吉斯","導演"
"161",40161,"吕克·贝松","導演"
"162",40162,"杜琪峰","導演"
"163",40163,"陆庆屹","導演"
"164",40164,"朴勋政","導演"
"165",40165,"奥利维埃·纳卡什","導演"
"166",40166,"陈凯歌","導演"
"167",40167,"罗伯托·贝尼尼","導演"
"168",40168,"拉斯·霍尔斯道姆","導演"
"169",40169,"安德鲁·斯坦顿","導演"
"170",40170,"拉吉库马尔·希拉尼","導演"
"171",40171,"克里斯托夫·巴拉蒂","導演"
"172",40172,"黄东赫","導演"
"173",40173,"刘伟强","導演"
"174",40174,"拜伦·霍华德","導演"
"175",40175,"加布里埃莱·穆奇诺","導演"
